Song,Country,id,Artist,Year,Language,Points,Rank
Shiru (שירו),Israel,,Lahakat Shiru,1993,"Hebrew, English",4,24
Alle mine tankar,Norway,5VTuKkNF4MRQg6VMIBLOBW,Silje Vige,1993,Norwegian,120,5
Stjärnorna,Sweden,,Marie Bergman & Roger Pontare,1994,Swedish,48,13
Bye Bye Baby,Finland,1o32LkfR9PBfJ09i0obApm,CatCat,1994,"Finnish, English",11,22
Rock 'n' Roll Kids,Ireland,,Paul Harrington & Charlie McGettigan,1994,English,226,1
Ime anthropos ki ego (Είμαι άνθρωπος κι εγώ),Cyprus,,Evridiki,1994,Greek,51,11
Nætur,Iceland,,Sigga,1994,Icelandic,49,12
We Will Be Free (Lonely Symphony),United Kingdom,,Frances Ruffelle,1994,English,63,10
Nek' ti bude ljubav sva,Croatia,2xoZhDH9wWgmrrByLv73qD,Tony Cetinski,1994,Croatian,27,16
Chamar a música,Portugal,,Sara Tavares,1994,Portuguese,73,8
Sto pregando,Switzerland,3mKwTK3Oz1vegk0Mi2vrdT,Duilio,1994,Italian,15,19
Nagu merelaine,Estonia,,Silvi Vrait,1994,Estonian,2,24
Dincolo de nori,Romania,,Dan Bittman,1994,Romanian,14,21
More than Love,Malta,1ZizKzFJ5DM5ZifOHr2RHr,Chris and Moira,1994,English,97,5
Waar is de zon,Netherlands,,Willeke Alberti,1994,Dutch,4,23
Wir geben 'ne Party,Germany,,MeKaDo,1994,German1,128,3
Nekonečná pieseň,Slovakia,,Tublatanka,1994,Slovak,15,19
Lopšinė mylimai,Lithuania,,Ovidijus Vyšniauskas,1994,Lithuanian,0,25
Duett,Norway,,Elisabeth Andreassen & Jan Werner Danielsen,1994,Norwegian,76,6
Ostani kraj mene,Bosnia and Herzegovina,,Alma & Dejan,1994,Bosnian,39,15
To trehandiri (Το τρεχαντήρι),Greece,,Kostas Bigalis & The Sea Lovers,1994,Greek,44,14
Für den Frieden der Welt,Austria,,Petra Frey,1994,German,19,17
Ella no es ella,Spain,6uOJMvxGa8UJg41f9nGdGK,Alejandro Abad,1994,Spanish,17,18
Kinek mondjam el vétkeimet?,Hungary,,Friderika Bayer,1994,Hungarian,122,4
Vechny strannik (Вечный странник),Russia,,Youddiph,1994,Russian,70,9
To nie ja!,Poland,3Y7dpkWyj2vtCAoJYcRJgS,Edyta Górniak,1994,Polish,166,2
Je suis un vrai garçon,France,,Nina Morato,1994,French,74,7
Sama,Poland,,Justyna,1995,Polish,15,18
Dreamin',Ireland,,Eddie Friel,1995,English,44,14
Verliebt in Dich,Germany,,Stone & Stone,1995,German,1,23
Dvadeset prvi vijek,Bosnia and Herzegovina,2ONmKfXd6LgNmtjGVh2XTk,Davorin Popović,1995,Bosnian,14,19
Nocturne,Norway,,Secret Garden[a],1995,Norwegian,148,1
Kolybelnaya dlya vulkana (Колыбельная для вулкана),Russia,,Philipp Kirkorov,1995,Russian,17,17
Núna,Iceland,,Bo Halldórsson,1995,Icelandic,31,15
Die Welt dreht sich verkehrt,Austria,,Stella Jones,1995,German,67,13
Vuelve conmigo,Spain,1oVihSjSmKTVAdaR9f97rD,Anabel Conde,1995,Spanish,119,2
Sev,Turkey,,Arzu Ece,1995,Turkish,21,16
Nostalgija,Croatia,,Magazin & Lidija,1995,Croatian,91,6
Il me donne rendez-vous,France,,Nathalie Santamaria,1995,French,94,4
Új név a régi ház falán,Hungary,,Csaba Szigeti,1995,Hungarian,3,22
La voix est libre,Belgium,,Frédéric Etherlinck,1995,French,8,20
Love City Groove,United Kingdom,,Love City Groove,1995,English,76,10
Baunilha e chocolate,Portugal,,Tó Cruz,1995,Portuguese,5,21
Sti fotia (Στη φωτιά),Cyprus,,Alexandros Panayi,1995,Greek,79,9
Se på mig,Sweden,4MwyTPs3Yn2NKmbRFkeEh6,Jan Johansen,1995,Swedish,100,3
Fra Mols til Skagen,Denmark,,Aud Wilken,1995,Danish,92,5
Prisluhni mi,Slovenia,5hD0KuFerCg0Qnn0VXMrNS,Darja Švajger,1995,Slovene,84,7
Amen (אמן),Israel,,Liora,1995,Hebrew,81,8
Keep Me In Mind,Malta,2Khe9HyqasSBy3xwkZQCco,Mike Spiteri,1995,English,76,10
Pia prosefhi (Ποια προσευχή),Greece,,Elina Konstantopoulou,1995,Greek,68,12
Weil's dr guat got,Austria,,George Nussbaumer,1996,Vorarlbergish,80,6
Liefde is een kaartspel,Belgium,69E3WU5InePQ4ZcRp5x7N1,Lisa del Bo,1996,Dutch,45,12
Za našu ljubav,Bosnia and Herzegovina,,Amila Glamočak,1996,Bosnian,29,21
Sveta ljubav,Croatia,3U7l5TrZI2lIcjbQ5JYcvj,Maja Blagdan,1996,Croatian,30,19
Mono gia mas (Μόνο για μας),Cyprus,,Constantinos,1996,Greek,42,15
Kun med dig,Denmark,,Dorthe Andersen & Martin Loft,1996,Danish,22,25
Kaelakee hääl,Estonia,,Maarja-Liis Ilus & Ivo Linna,1996,Estonian,106,5
Niin kaunis on taivas,Finland,,Jasmine,1996,Finnish,26,22
Diwanit Bugale,France,,Dan Ar Braz & l'Héritage des Celtes,1996,Breton,55,11
Samo ti (Само ти),Macedonia,,Kaliopi,1996,Macedonian,14,26
Planet of Blue,Germany,,Leon,1996,German,24,24
"Emis forame to himona anixiatika
(Εμείς φοράμε το χειμώνα ανοιξιάτικα)",Greece,,Marianna Efstratiou,1996,Greek,45,12
Fortuna,Hungary,,Gjon Delhusa,1996,Hungarian,26,23
Sjúbídú,Iceland,5DlwSKObLNmZcLYEyF6S71,Anna Mjöll,1996,Icelandic,59,10
The Voice,Ireland,,Eimear Quinn,1996,English,198,2
Shalom Olam (שלום עולם),Israel,,Galit Bell,1996,Hebrew,12,28
In a Woman's Heart,Malta,5uAzATY8QtaWvyRUKaKIPU,Miriam Christine,1996,English,138,4
De eerste keer,Netherlands,,Maxine & Franklin Brown,1996,Dutch,63,9
Chcę znać swój grzech...,Poland,,Kasia Kowalska,1996,Polish,42,15
O meu coração não tem cor,Portugal,,Lúcia Moniz,1996,Portuguese,32,18
Rugă pentru pacea lumii,Romania,,Monica Anghel & Sincron,1996,Romanian,11,29
Ya eto ya (Я это я),Russia,,Andrey Kosinskiy,1996,Russian,14,26
Kým nás máš,Slovakia,,Marcel Palonder,1996,Slovak,38,17
Dan najlepših sanj,Slovenia,4NrbpestG8aXXePSuvrsMB,Regina,1996,Slovene,30,19
"¡Ay, qué deseo!",Spain,,Antonio Carbonell,1996,Spanish,43,14
Den vilda,Sweden,0TYwFP4MxszHAXAJMYhi3E,One More Time,1996,Swedish,227,1
Mon cœur l'aime,Switzerland,,Kathy Leander,1996,French,67,8
Beşinci Mevsim,Turkey,,Şebnem Paker,1996,Turkish,69,7
Ooh Aah... Just a Little Bit,United Kingdom,2FwVYuLSwtM0nc2ZWqZo1E,Gina G,1996,English,153,3
Mana mou (Μάνα μου),Cyprus,,Hara & Andreas Konstantinou,1997,Greek,98,5
Dinle,Turkey,,Şebnem Paker & Grup Ethnic,1997,Turkish,121,3
San Francisco,Norway,5YXG7ZXvVAzT7yxT5EUp3C,Tor Endresen,1997,Norwegian1,0,24
One Step,Austria,,Bettina Soriat,1997,German1,12,21
Mysterious Woman,Ireland,,Marc Roberts,1997,English,157,2
Zbudi se,Slovenia,,Tanja Ribič,1997,Slovene,60,10
Dentro di me,Switzerland,,Barbara Berta,1997,Italian,5,22
Niemand heeft nog tijd,Netherlands,,Mrs. Einstein,1997,Dutch,5,22
Fiumi di parole,Italy,5ZS9fcqcYtfL80rj1bf7Lb,Jalisse,1997,Italian,114,4
Sin rencor,Spain,79mY0wwCQoGgRSZfbYlU48,Marcos Llunas,1997,Spanish,96,6
Zeit,Germany,,Bianca Shomburg,1997,German,22,18
Ale jestem,Poland,7kkS427KA8VjQqmcFcl3de,Anna Maria Jopek,1997,Polish,54,11
Keelatud maa,Estonia,,Maarja-Liis Ilus,1997,Estonian,82,8
Goodbye,Bosnia and Herzegovina,,Alma Čardžić,1997,Bosnian,22,18
Antes do adeus,Portugal,6Xuog6CYG9FuZA3tFWvcCw,Célia Lawson,1997,Portuguese,0,24
Bara hon älskar mig,Sweden,,Blond,1997,Swedish,36,14
Horepse (Χόρεψε),Greece,,Marianna Zorba,1997,Greek,39,12
Let Me Fly,Malta,2qRSeT24NFOTAinm83x6Wt,Debbie Scerri,1997,English,66,9
"Miért kell, hogy elmenj?",Hungary,,V.I.P.,1997,Hungarian,39,12
Primadonna (Примадонна),Russia,,Alla Pugacheva,1997,Russian,33,15
Stemmen i mit liv,Denmark,,Kølig Kaj,1997,Danish,25,16
Sentiments songes,France,,Fanny,1997,French,95,7
Probudi me,Croatia,5GKs2EdeHzWS80SLuPASeZ,E.N.I.,1997,Croatian,24,17
Love Shine a Light,United Kingdom,,Katrina and the Waves,1997,English,227,1
Minn hinsti dans,Iceland,,Paul Oscar,1997,Icelandic,18,20
Neka mi ne svane,Croatia,,Danijela,1998,Croatian,131,5
Mia Krifi Evesthisia (Μια κρυφή ευαισθησία),Greece,,Thalassa,1998,Greek,12,20
Où aller,France,,Marie Line,1998,French,3,24
¿Qué voy a hacer sin ti?,Spain,2GYcJI8OOhWe4J7OijzVIf,Mikel Herzog,1998,Spanish,21,16
Lass ihn,Switzerland,3hxqRp4OhlLVIFB2yi0rLq,Gunvor,1998,German,0,25
Modlitba,Slovakia,,Katarína Hasprová,1998,Slovak,8,21
To takie proste,Poland,0IfbVBzv2whyl6uLCDudVQ,Sixteen,1998,Polish,19,17
Diva (דיווה),Israel,,Dana International,1998,Hebrew,172[N 1],1
Guildo hat euch lieb!,Germany,,Guildo Horn,1998,German,86,7
The One That I Love,Malta,3s1GSTcK3WAVbQhpVVziKN,Chiara,1998,English,165,3
A holnap már nem lesz szomorú,Hungary,0bQ9A9BnT2nx4oTPvUwae4,Charlie,1998,Hungarian,4,23
Naj bogovi slišijo,Slovenia,,Vili Resnik,1998,Slovene,17,18
Is Always Over Now?,Ireland,,Dawn Martin,1998,English,64,9
Se eu te pudesse abraçar,Portugal,,Alma Lusa,1998,Portuguese,36,12
Eu cred,Romania,,Mălina Olinescu,1998,Romanian,6,22
Where Are You?,United Kingdom,,Imaani,1998,English,166,2
Genesis (Γένεσις),Cyprus,,Michael Hajiyanni,1998,Greek,37,11
Hemel en aarde,Netherlands,,Edsilia,1998,Dutch,151,4
Kärleken är,Sweden,,Jill Johnson,1998,Swedish,53,10
Dis oui,Belgium,,Mélanie Cohl,1998,French,122,6
Aava,Finland,,Edea,1998,Finnish,22,15
Alltid sommer,Norway,,Lars Fredriksen,1998,Norwegian,79,8
Mere lapsed,Estonia,,Koit Toome,1998,Estonian,36,12
Unutamazsın,Turkey,,Tüzmen,1998,Turkish,25,14
"Ne zori, zoro (Не зори, зоро)",Macedonia,,Vlado Janevski,1998,Macedonian,16,19
Strazdas,Lithuania,,Aistė,1999,Samogitian,13,20
Like the Wind,Belgium,,Vanessa Chinitor,1999,English,38,12
No quiero escuchar,Spain,,Lydia,1999,Spanish,1,23
Marija Magdalena,Croatia,7Gj6Wi9ZFoIMdf9i1f9Y8P,Doris Dragović,1999,Croatian,118,4
Say It Again,United Kingdom,7zoOclHrdlDggSm8YJk00N,Precious,1999,English,38,12
For a Thousand Years,Slovenia,3Nun3F5Bs9F0RZwz2VifIV,Darja Švajger,1999,English,50,11
Dön Artık,Turkey,,Tuğba Önal & Grup Mistik,1999,Turkish,21,16
Living My Life Without You,Norway,,Stig Van Eijk,1999,English,35,14
This Time I Mean It,Denmark,,Trine Jepsen & Michael Teschl,1999,English,71,8
Je veux donner ma voix,France,6Pj2g4QOtfm7ET6NN4tmLg,Nayah,1999,French,14,19
One Good Reason,Netherlands,,Marlayne,1999,English,71,8
Przytul mnie mocno,Poland,,Mietek Szcześniak,1999,Polish,17,18
All Out of Luck,Iceland,3F2vFcTAfL7jThy047uUrv,Selma,1999,English,146,2
Tha'nai Erotas (Θα'ναι έρωτας),Cyprus,,Marlain,1999,Greek,2,22
Take Me to Your Heaven,Sweden,6yEkKWkh7cBsFPr7Cif3uL,Charlotte Nilsson,1999,English,163,1
Como tudo começou,Portugal,61ExZgVw4snwzjSwIYNFm3,Rui Bandeira,1999,Portuguese,12,21
When You Need Me,Ireland,,The Mullans,1999,English,18,17
Reflection,Austria,,Bobbie Singer,1999,English,65,10
Yom Huledet (Happy Birthday) (יום הולדת),Israel,,Eden,1999,"English, Hebrew",93,5
Believe 'n Peace,Malta,10gJ58ztG2nBtv9U0pbHAK,Times Three,1999,English,32,15
Reise nach Jerusalem – Kudüs'e seyahat,Germany,,Sürpriz,1999,"German, Turkish,
English, Hebrew",140,3
Putnici,Bosnia and Herzegovina,,Dino & Béatrice,1999,"Bosnian, French",86,7
Diamond of Night,Estonia,,Evelin Samuel & Camille,1999,English,90,6
Sameach (שמח),Israel,,PingPong,2000,Hebrew1,7,22
No Goodbyes,Netherlands,4OxAOffBcJqxGFn9R5KxYV,Linda Wagenmakers,2000,English,40,13
Don't Play That Song Again,United Kingdom,4bBImJN8pJkx3axY7ECpUg,Nicki French,2000,English,28,16
Once in a Lifetime,Estonia,,Ines,2000,English,98,4
On aura le ciel,France,,Sofia Mestari,2000,French,5,23
The Moon,Romania,,Taxi,2000,English,25,17
Desire,Malta,4Ngtct85sXmayXB5Ga7CuK,Claudette Pace,2000,"English, Maltese",73,8
My Heart Goes Boom,Norway,,Charmed,2000,English,57,11
Solo,Russia,,Alsou,2000,English,155,2
Envie de vivre,Belgium,,Nathalie Sorce,2000,French,2,24
Nomiza (Νόμιζα),Cyprus,,Voice,2000,"Greek, Italian",8,21
Tell Me!,Iceland,2k3Y97ETwFLIeQwWQG0pkC,August & Telma,2000,English,45,12
Colgado de un sueño,Spain,,Serafín Zubiri,2000,Spanish,18,18
Fly on the Wings of Love,Denmark,2kILE4974u2DL5rEvrbfsA,Olsen Brothers,2000,English,195,1
Wadde hadde dudde da?,Germany,,Stefan Raab,2000,"German, English",96,5
La vita cos'è?,Switzerland,,Jane Bogaert,2000,Italian,14,20
Kad zaspu anđeli,Croatia,,Goran Karan,2000,Croatian,70,9
When Spirits Are Calling My Name,Sweden,27L4okgASeyUAzZ7etleyQ,Roger Pontare,2000,English,88,7
100% te ljubam (100% те љубам),Macedonia,,XXL,2000,"Macedonian, English",29,15
A Little Bit,Finland,,Nina Åström,2000,English,18,18
My Star,Latvia,4R2tCloerHegAfPWjR3o7d,Brainstorm,2000,English,136,3
Yorgunum Anla,Turkey,,Pınar Ayhan & The SOS,2000,"Turkish, English",59,10
Millennium of Love,Ireland,,Eamonn Toal,2000,English,92,6
All to You,Austria,,The Rounder Girls,2000,English,34,14
Out On My Own,Netherlands,,Michelle,2001,English,16,18
Angel,Iceland,2nhY8qimED269sup4XzyaA,Two Tricky,2001,English,3,22
Hano,Bosnia and Herzegovina,1nYgrQQpJmeDLukAKH2Por,Nino Pršeš,2001,"Bosnian, English",29,14
On My Own,Norway,2ISmtYqAfrIhZIEWWImTjU,Haldor Lægreid,2001,English,3,22
En Davar (אין דבר),Israel,,Tal Sondak,2001,Hebrew,25,16
Lady Alpine Blue,Russia,,Mumiy Troll,2001,English,37,12
Listen to Your Heartbeat,Sweden,4W7sgrHikz4hbndXFQJzBu,Friends,2001,English,100,5
You Got Style,Lithuania,2LtdpzRnapo6CjzdrVQgnN,SKAMP,2001,"English, Lithuanian",35,13
Too Much,Latvia,3XJ8YC4wks6m14Jy2p6QNQ,Arnis Mednis,2001,English,16,18
Strings of My Heart,Croatia,7b011YotePNLplTMrbMgnu,Vanna,2001,English,42,10
Só sei ser feliz assim,Portugal,,MTM,2001,Portuguese,18,17
Without Your Love,Ireland,,Gary O'Shaughnessy,2001,English,6,21
Dile que la quiero,Spain,0so2Jlze25HJtPYZnEUMzr,David Civera,2001,Spanish,76,6
Je n'ai que mon âme,France,10p0nLnAzyyVr4YWxaSerl,Natasha St-Pier,2001,"French, English",142,4
Sevgiliye Son,Turkey,,Sedat Yüce,2001,"Turkish, English",41,11
No Dream Impossible,United Kingdom,,Lindsay Dracass,2001,English,28,15
Energy,Slovenia,,Nuša Derenda,2001,English,70,7
2 Long,Poland,,Piasek,2001,English,11,20
Wer Liebe lebt,Germany,0MAoOpiamwvXSEgcWkeII2,Michelle,2001,"German, English",66,8
Everybody,Estonia,,"Tanel Padar, Dave Benton & 2XL",2001,English,198,1
Another Summer Night,Malta,0DBpHZkE1iSeBKgCZXw54O,Fabrizio Faniello,2001,English,48,9
Die for You,Greece,59wp0uf7el6E2xo0sYUQsL,Antique,2001,"Greek, English",147,3
Never Ever Let You Go,Denmark,4WWzifyWD0zfImlSn4LpU3,Rollo & King,2001,English,177,2
Gimme,Cyprus,4MZE71a9ACoGlXuRBDGacm,One,2002,English,85,6
Come Back,United Kingdom,,Jessica Garlick,2002,English,111,3
Say a Word,Austria,,Manuel Ortega,2002,English,26,18
S.A.G.A.P.O.,Greece,,Michalis Rakintzis,2002,English,27,17
Europe's Living a Celebration,Spain,,Rosa,2002,"Spanish, English",81,7
Everything I Want,Croatia,0knrm9iqhUjf9wT0rZCfFl,Vesna Pisarović,2002,English,44,11
Northern Girl,Russia,,Prime Minister,2002,English,55,10
Runaway,Estonia,,Sahlene,2002,English,111,3
Od nas zavisi (Од нас зависи),Macedonia,,Karolina,2002,Macedonian,25,19
Light a Candle,Israel,,Sarit Hadad,2002,"Hebrew, English",37,12
Dans le jardin de mon âme,Switzerland,,Francine Jordi,2002,French,15,22
Never Let It Go,Sweden,6waBYwb5p6z7BN1NucVZ1T,Afro-dite,2002,English,72,8
Addicted To You,Finland,,Laura,2002,English,24,20
Tell Me Who You Are,Denmark,,Malene,2002,English,7,24
Na jastuku za dvoje (На јастуку за двоје),Bosnia and Herzegovina,,Maja,2002,"Serbian, English",33,13
Sister,Belgium,,Sergio & The Ladies,2002,English,33,13
Il faut du temps,France,,Sandrine François,2002,French,104,5
I Can't Live Without Music,Germany,,Corinna May,2002,English,17,21
Leylaklar Soldu Kalbinde,Turkey,,Buket Bengisu & Group Safir,2002,"Turkish, English",29,16
7th Wonder,Malta,6rF1ZmDKZKhEv49l2OrYCl,Ira Losco,2002,English,164,2
Tell Me Why,Romania,,Monica Anghel & Marcel Pavel,2002,English,71,9
Samo ljubezen,Slovenia,5Wuo6QOB41oIC4qVVteZ4O,Sestre,2002,Slovene,33,13
I Wanna,Latvia,70tFqMdkFXCPeirRaLAKKM,Marie N,2002,English,176,1
Happy You,Lithuania,,Aivaras,2002,English,12,23
Open Your Heart,Iceland,,Birgitta,2003,English,81,8
Weil der Mensch zählt,Austria,4icOtq9jmgpmURhMRv0ZRN,Alf Poier,2003,German1,101,6
We've Got the World,Ireland,7DLEGyyuXl2Y5mCsiy4oI3,Mickey Harte,2003,English,53,11
Everyway That I Can,Turkey,6eSegCmgoWltb2VKsXmLOa,Sertab Erener,2003,English,167,1
To Dream Again,Malta,,Lynn Chircop,2003,English,4,25
Ne brini,Bosnia and Herzegovina,,Mija Martina,2003,"Croatian, English",27,16
Deixa-me sonhar,Portugal,6thqN2odJr5rHZ7BOaLZ0N,Rita Guerra,2003,"Portuguese, English",13,22
Više nisam tvoja,Croatia,,Claudia Beni,2003,"Croatian, English",29,15
Feeling Alive,Cyprus,2kXwLDnszt2QdwbbzXF1l2,Stelios Constantas,2003,English,15,20
Let's Get Happy,Germany,,Lou,2003,English,53,11
"Ne ver', ne boysia (Не верь, не бойся)",Russia,,t.A.T.u.,2003,Russian,164,3
Dime,Spain,,Beth,2003,Spanish,81,8
Words for Love,Israel,,Lior Narkis,2003,Hebrew2,17,19
One More Night,Netherlands,,Esther Hart,2003,English,45,13
Cry Baby,United Kingdom,5PmYbatwMGlwR312TX4ki3,Jemini,2003,English,0,26
Hasta la Vista,Ukraine,,Olexandr,2003,English,30,14
Never Let You Go,Greece,5Vdm4sjMkiKjXEmegFJiC2,Mando,2003,English,25,17
I'm Not Afraid to Move On,Norway,,Jostein Hasselgård,2003,English,123,4
Monts et merveilles,France,,Louisa Baïleche,2003,French,19,18
Keine Grenzen – Żadnych granic,Poland,,Ich Troje,2003,"German, Polish, Russian",90,7
Hello from Mars,Latvia,,F.L.Y.,2003,English,5,24
Sanomi,Belgium,3VJKivjnP3B3GCyJ5Yallw,Urban Trad,2003,Imaginary,165,2
Eighties Coming Back,Estonia,,Ruffus,2003,English,14,21
Don't Break My Heart,Romania,7vN1yJFrOPTQ6rNvxyQnou,Nicola,2003,English,73,10
Give Me Your Love,Sweden,1KMl8EuoBAXKEmQT3PtNGQ,Fame,2003,English,107,5
Nanana,Slovenia,,Karmen,2003,English,7,23
Para llenarme de ti,Spain,45OEMWZLAVLG8wx8xM0Das,Ramón,2004,Spanish,87,10
Du bist,Austria,3SsbrlJBqqakD5PF3jtO4k,Tie Break,2004,German,9,21
High,Norway,3qB7BwmLWd6QWyd26QevOj,Knut Anders Sørum,2004,English,3,24
À chaque pas,France,,Jonatan Cerrada,2004,"French, Spanish",40,15
Lane moje (Лане моје),Serbia and Montenegro,,Željko Joksimović & Ad-Hoc Orchestra,2004,Serbian,263,2
On Again... Off Again,Malta,,Julie and Ludwig,2004,English,50,12
Without You,Netherlands,,Re-Union,2004,English,11,20
Can't Wait Until Tonight,Germany,,Max,2004,"English, Turkish",93,8
The Image of You,Albania,,Anjeza Shahini,2004,English,106,7
Wild Dances,Ukraine,1Lav2Z3RKu71MJLIjQz4dQ,Ruslana,2004,"English, Ukrainian",280,1
You Are the Only One,Croatia,32ChLaXKTvGtbSIlkrpnqO,Ivan Mikulić,2004,English,50,12
In the Disco,Bosnia and Herzegovina,2wdhxJI8rvKq1VCRZsiEuA,Deen,2004,English,91,9
1 Life,Belgium,,Xandee,2004,English,7,22
Believe Me,Russia,,Julia Savicheva,2004,English,67,11
Life,Macedonia,3NhfXadAjVneT0ZuZBbqut,Toše Proeski,2004,English,47,14
Shake It,Greece,2xagoLNhrbVA2fpOkxs2Ze,Sakis Rouvas,2004,English,252,3
Heaven,Iceland,28EIkUG3CBpIRDQh285jKP,Jónsi,2004,English,16,19
If My World Stopped Turning,Ireland,2w7K4PVdNAaGWwY9wlGzrb,Chris Doran,2004,English,7,22
Love Song,Poland,1B2RXsTj0qe6VI84M9XGaT,Blue Café,2004,"English, Spanish",27,17
Hold On to Our Love,United Kingdom,,James Fox,2004,English,29,16
Stronger Every Minute,Cyprus,,Lisa Andreas,2004,English,170,5
For Real,Turkey,,Athena,2004,English,195,4
I Admit,Romania,,Sanda,2004,English,18,18
It Hurts,Sweden,,Lena Philipsson,2004,English,170,5
"Forogj, világ!",Hungary,1MaUE0VmsQwA0ktD0KDjv4,NOX,2005,Hungarian,97,12
Touch My Fire,United Kingdom,,Javine,2005,English,18,22
Angel,Malta,,Chiara,2005,English,192,2
Let Me Try,Romania,,Luminița Anghel & Sistem,2005,English,158,3
In My Dreams,Norway,0Y4lzTJtfn0W0rTzpXiBBf,Wig Wam,2005,English,125,9
Rimi Rimi Ley,Turkey,,Gülseren,2005,Turkish,92,13
Boonika bate doba,Moldova,4X0BpvZDqPAFp5HzNPONWd,Zdob și Zdub,2005,"English, Romanian",148,6
Tomorrow I Go,Albania,,Ledina Çelo,2005,English,53,16
Ela Ela,Cyprus,,Constantinos Christoforou,2005,English,46,18
Brujería,Spain,,Son de Sol,2005,Spanish,28,21
Hasheket Shenish'ar (השקט שנשאר),Israel,,Shiri Maimon,2005,"Hebrew, English",154,4
Zauvijek moja (Заувијек моја),Serbia and Montenegro2,,No Name,2005,Montenegrin,137,7
Talking to You,Denmark,,Jakob Sveistrup,2005,English,125,9
Las Vegas,Sweden,,Martin Stenmarck,2005,English,30,19
Make My Day,Macedonia,,Martin Vučić,2005,English,52,17
Razom nas bahato (Разом нас багато),Ukraine,,GreenJolly,2005,"Ukrainian, English1",30,19
Run and Hide,Germany,26egMCRkITBhtqGWkt1J8S,Gracia,2005,English,4,24
Vukovi umiru sami,Croatia2,,Boris Novković feat. Lado Members,2005,Croatian,115,11
My Number One,Greece,6LkCvCc9oFoLDv4DLhzTox,Helena Paparizou,2005,English,230,1
Nobody Hurt No One,Russia,,Natalia Podolskaya,2005,English,57,15
Call Me,Bosnia and Herzegovina,1o5nL0IcAxh77bKBNzMQUt,Feminnem,2005,English,79,14
Cool Vibes,Switzerland,0zOVfyrwPS7FY7REBQDlvD,Vanilla Ninja,2005,English,128,8
The War Is Not Over,Latvia,40wvKWTMSq9KDJwV0hntn1,Walters & Kazha,2005,English,153,5
Chacun pense à soi,France,,Ortal,2005,French,11,23
If We All Give a Little,Switzerland,2dMGxoGXtapU26WYizhFjl,six4one,2006,English,30,16
Loca,Moldova,,Arsenium feat. Natalia Gordienko,2006,English3,22,20
Together We Are One,Israel,,Eddie Butler,2006,"Hebrew, English",4,23
I Hear Your Heart,Latvia,,Vocal Group Cosmos,2006,English,30,16
Alvedansen,Norway,,Christine Guldbrandsen,2006,Norwegian,36,14
Un Blodymary,Spain,2ypexq3NogUIk6GkktgrNg,Las Ketchup,2006,Spanish,18,21
I Do,Malta,4W3eH4QXRYXSdHJGtLa1zt,Fabrizio Faniello,2006,English,1,24
No No Never,Germany,,Texas Lightning,2006,English,36,14
Twist of Love,Denmark,,Sidsel Ben Semmane,2006,English,26,18
Never Let You Go,Russia,,Dima Bilan,2006,English,248,2
Ninanajna (Нинанајна),Macedonia,,Elena Risteska,2006,"English, Macedonian",56,12
Tornerò,Romania,46jwXcFUYjOhS5Vi5gp6ou,Mihai Trăistariu,2006,"English, Italian",172,4
Lejla,Bosnia and Herzegovina,0xDQnj1CobUOFmVsovknB1,Hari Mata Hari,2006,Bosnian,229,3
We Are the Winners,Lithuania,2QNb0E7tUeL5fCQFY5Pf02,LT United,2006,English2,162,6
Teenage Life,United Kingdom,,Daz Sampson,2006,English,25,19
Everything,Greece,,Anna Vissi,2006,English,128,9
Hard Rock Hallelujah,Finland,3EixrP74QvVXmX5sOP3ul6,Lordi,2006,English,292,1
Show Me Your Love,Ukraine,,Tina Karol,2006,English,145,7
Il était temps,France,5hFjwk9qw4eiWktk8QUc4n,Virginie Pouchain,2006,French,5,22
Moja štikla,Croatia,3pfBXeCurFSU3e896fXVLm,Severina,2006,Croatian,56,12
Every Song Is a Cry for Love,Ireland,4U7WC5GYgDSFo5pKKoUq7u,Brian Kennedy,2006,English,93,10
Invincible,Sweden,2eGkOAOi972MzM5optdlT7,Carola,2006,English,170,5
Süper Star,Turkey,,Sibel Tüzün,2006,"Turkish, English",91,11
Without Your Love,Armenia,,André,2006,English,129,8
Rijeka bez imena (Ријека без имена),Bosnia and Herzegovina,,Marija Šestić,2007,Serbian,106,11
I Love You Mi Vida,Spain,,D'NASH,2007,Spanish3,43,20
Work Your Magic,Belarus,,Dmitry Koldun,2007,English,145,6
They Can't Stop the Spring,Ireland,,Dervish,2007,English,5,24
Leave Me Alone,Finland,,Hanna Pakarinen,2007,English,53,17
Mojot svet (Мојот свет),Macedonia,,Karolina,2007,"Macedonian, English",73,14
Cvet z juga,Slovenia,5TyLmF69awrR61SO4v0NT4,Alenka Gotar,2007,Slovene,66,15
Unsubstantial Blues,Hungary,,Magdi Rúzsa,2007,English,128,9
Love or Leave,Lithuania,0Kd8LZOl5NH5ZBYMhuVM1P,4Fun,2007,English,28,21
Yassou Maria (Γεια σου Μαρία),Greece,,Sarbel,2007,English,139,7
Visionary Dream,Georgia,,Sopho,2007,English,97,12
The Worrying Kind,Sweden,5zIxRPGxiOBNRDBu2Upk4i,The Ark,2007,English,51,18
L'amour à la française,France,,Les Fatals Picards,2007,"French, English (""Franglais"")",19,22[9]
Questa notte,Latvia,1kcwsoWjmm9THtkhL1vQ7Y,Bonaparti.lv,2007,Italian,54,16
Song #1,Russia,6O2BqxpGIGYcmNRupBQZc9,Serebro,2007,English,207,3
