Artist,Rank,Song,Year,Country,Points,Language
Naviband,17,Story of My Life,2017,Belarus,83,Belarusian[e]
Nathan Trent,16,Running on Air,2017,Austria,93,English
Artsvik,18,Fly with Me,2017,Armenia,79,English
O'G3NE,11,Lights and Shadows,2017,Netherlands,150,English
Sunstroke Project,3,"Hey, Mamma!",2017,Moldova,374,English
Joci Pápai,8,Origo,2017,Hungary,200,Hungarian[c]
Francesco Gabbani,6,Occidentali's Karma,2017,Italy,334,Italian[f]
Anja,20,Where I Am,2017,Denmark,77,English
Salvador Sobral,1,Amar pelos dois,2017,Portugal,758,Portuguese
Dihaj,14,Skeletons,2017,Azerbaijan,120,English
Jacques Houdek,13,My Friend,2017,Croatia,128,"English, Italian"
Isaiah,9,Don't Come Easy,2017,Australia,173,English
Demy,19,This Is Love,2017,Greece,77,English
Manel Navarro,26,Do It for Your Lover,2017,Spain,5,"Spanish, English"
JOWST[d],10,Grab the Moment,2017,Norway,158,English
Lucie Jones,15,Never Give Up on You,2017,United Kingdom,111,English
Hovig,21,Gravity,2017,Cyprus,68,English
Ilinca ft. Alex Florea,7,Yodel It!,2017,Romania,282,English
Levina,25,Perfect Life,2017,Germany,6,English
O.Torvald,24,Time,2017,Ukraine,36,English
Blanche,4,City Lights,2017,Belgium,363,English
Robin Bengtsson,5,I Can't Go On,2017,Sweden,344,English
Kristian Kostov,2,Beautiful Mess,2017,Bulgaria,615,English
Alma,12,Requiem,2017,France,135,"French, English"
